,title,date
57,A Pirouette From Student to Caregiver,"April 21, 2022"
58,Carla Hall: Made with Love,"April 21, 2022"
59,What is Aphasia?,"April 26, 2022"
60,Fight Alzheimer's with an email,"April 26, 2022"
61,Clinical Challenges: Lifestyle and Alzheimer's Risk,"April 29, 2022"
62,"Non-white Americans at higher risk for dementia, veterans study shows","May 2, 2022"
63,Alzheimer’s Association Statement on Limited Access and Resources to Aduhelm for Eligible Individuals Living with Alzheimer’s,"May 3, 2022"
64,Alzheimer's Research Casts Doubt on Safety of Popular Brain Supplements,"May 4, 2022"
65,Luis Fonsi Is Using Music to Raise Alzheimers Awareness for His Grandma: 'Beautiful Responsibility',"May 9, 2022"
66,"Luis Fonsi se une a campaña para ayudar a pacientes de Alzheimer como su abuela (Luis Fonsi helps raise awareness about Alzheimer's, a disease suffered by his grandmother)","May 10, 2022"
67,"Luis Fonsi ayudará a personas con Alzheimer, enfermedad que padece su abuela (Luis Fonsi will help with his music people with Alzheimer's, a disease suffered by his grandmother)","May 10, 2022"
68,Luis Fonsi joins Alzheimer’s Association to raise awareness and honor his grandmother,"May 10, 2022"
69,The 3 Midlife Factors That Raise Your Odds for Alzheimer's,"May 10, 2022"
70,Higher levels of antioxidants may reduce dementia risk,"May 11, 2022"
71,Congress Takes Action on Critical Alzheimer’s Legislation to Ensure Addressing Alzheimer’s Remains a National Priority and Continue Momentum on Research Funding,"May 16, 2022"
72,Dementia and Alzheimer's in Indian Country,"May 16, 2022"
73,"Holistic Program May Help People With Alzheimer's, Dementia","May 19, 2022"
74,How risk factors for developing dementia may vary between ages 55-80,"May 19, 2022"
75,The aging brain: New research paves way for treating memory loss,"May 24, 2022"
76,What Dementia Feels Like,"May 24, 2022"
77,Human Rights Campaign and Alzheimer’s Association Announce  New Partnership to Support LGBTQ Individuals Affected by  Alzheimer’s and other Dementia,"May 31, 2022"
78,Six Things People Living with Alzheimer’s Disease and Other Dementia Want You to Know,"June 1, 2022"
79,Mutant Gene Stops At-Risk People From Getting Alzheimer's: Could It Lead to Treatment?,"June 1, 2022"
80,What People With Early-Onset Dementia Want You to Know,"June 2, 2022"
81,Tony Bennett and Wife Susan Benedetto Wear Purple for Alzheimer's and Brain Awareness Month,"June 2, 2022"
82,The Younger Faces of Alzheimer's and Other Dementias,"June 8, 2022"
83,Study Highlights 3 Risk Factors for Alzheimer’s Disease,"June 8, 2022"
84,Dementia and sleep: What do we know about this link?,"June 13, 2022"
85,Alzheimer's Association gives voice to early-stage patients in Alzheimer's awareness month campaign,"June 13, 2022"
86,David Hyde Pierce Live on Today,"June 21, 2022"
87,Healthy Brain Initiative Continues Public Health Momentum By Kicking Off Next Road Map Development,"June 21, 2022"
88,Do I Have Alzheimer’s Disease? Just One Brain Scan May Tell,"June 22, 2022"
89,Researchers Spot Sign of Alzheimer's Risk That Scammers Love,"June 22, 2022"
90,"Q&A: What's New in Research for Alzheimer's Diagnostics, Treatments","June 25, 2022"
91,Could Getting Your Flu Shot Help Prevent Alzheimer's?,"June 29, 2022"
92,House Appropriations Subcommittee Advances Critical Alzheimer's and Dementia Research Funding,"June 29, 2022"
93,Sharpen Your Brain,"July 11, 2022"
94,Alzheimer's Association Part The Cloud Grant Program-Funded Projects Reach $1 Billion in Follow-On Funding,"July 12, 2022"
95,Study: Flu Shots May Reduce the Risk of Alzheimer's Disease,"July 12, 2022"
96,Long-term high fat diets accelerate cognitive decline in Alzheimer’s disease,"July 13, 2022"
97,Alzheimer’s Association Calls for Diversity in Clinical Trial Participation,"July 13, 2022"
98,Warning Signs You Have Alzheimer's Says CDC,"July 13, 2022"
99,How Ultra-Processed Foods Can Affect Cognitive Performance,"July 17, 2022"
100,Thyroid Trouble May Raise Dementia Risks,"July 18, 2022"
101,"Being Deficient in This Nutrient Can Lead to Dementia, Study Warns","July 18, 2022"
102,Bacteria that cause gum disease may increase risk of Alzheimer's,"July 18, 2022"
103,The Changing Role of the Caregiver,"July 19, 2022"
104,"If You Have These Heart Conditions, Your Dementia Risk Triples, Experts Warn","July 22, 2022"
105,"Diedrich Bader: In the Moment, Gratefully","July 22, 2022"
106,Hispanic Americans More Likely to Develop Dementia. Why?,"July 22, 2022"
107,Victory Lap,"July 22, 2022"
108,No Time Like the Present,"July 22, 2022"
109,Around the Table with Madison Cowan,"July 22, 2022"
110,What It's Like Living with Alzheimer's,"July 22, 2022"
111,National Institutes of Health Releases FY24 Professional Judgment Budget for Alzheimer’s and Dementia Research Funding,"July 26, 2022"
112,"Even Chores, Socializing Might Lower Your Odds for Dementia","July 28, 2022"
113,Loss of smell is a warning sign of Alzheimer’s. What if you lose your sense of smell from Covid?,"July 31, 2022"
114,Alzheimer's Community Remains Optimistic Despite Reports of Fraud in 2006 Study,"July 31, 2022"
115,The fight against Alzheimer's: Where are we now?,"July 31, 2022"
116,Alzheimer’s Association Global Workgroup Releases Recommendations About Use of Alzheimer’s “Blood Tests”,"July 31, 2022"
117,Persistent Loss of Smell Due to COVID-19 Closely Connected to Long-Lasting Cognitive Problems,"July 31, 2022"
118,Pérdida persistente del olfato debida al COVID-19 estrechamente conectada a problemas cognitivos duraderos,"July 31, 2022"
119,Seven Researchers Honored for Scientific Achievements and Contributions to the Dementia Field at Alzheimer’s Association International Conference,"July 31, 2022"
120,"Experiences of Racism Associated with Poor Memory, Increased Cognitive Decline","July 31, 2022"
121,"La experiencia del racismo asociada con mala memoria, deterioro cognitivo aumentado","July 31, 2022"
122,Alzheimer’s Association Launches ALZ-NET: A Long-Term Data Collection and Sharing Network for New Treatments,"July 31, 2022"
123,"Eating lots of highly processed food is linked to faster cognitive decline, research finds","August 1, 2022"
124,Alzheimer's researchers are looking beyond plaques and tangles for new treatments,"August 1, 2022"
125,"Experiences of Racism Tied to Worsening Memory, Thinking in Older Black Americans","August 2, 2022"
126,"As new Alzheimer’s drugs have failed, scientists are shifting focus to other potential causes","August 2, 2022"
127,The Surprising Impact of Racism on the Brain,"August 2, 2022"
128,"Even simple exercise may help aging brain, study hints","August 2, 2022"
129,"Eating processed foods is hurting your brain, study says. Even '2 cookies' can affect health.","August 2, 2022"
130,"Ultra-processed foods linked to cognitive decline, study says","August 2, 2022"
131,Alzheimer’s Association Statement on New Clinical Trial Results Reported at AAIC 2022,"August 2, 2022"
132,"Lower Socioeconomic Status in Childhood, Persistent Low Wages Linked to Risk for Dementia and Faster Memory Decline","August 2, 2022"
133,"Estatus socioeconómico más bajo en la niñez, sueldos bajos persistentes vinculados con el riesgo de demencia y deterioro más rápido de la memoria","August 2, 2022"
134,17 Recommendations for Researchers to Better Communicate with Study Participants When Trials End Early,"August 2, 2022"
135,Highlights from the Alzheimer's Association International Conference 2022,"August 2, 2022"
136,Historia de afecciones hipertensivas durante el embarazo vinculada con un riesgo aumentado de demencia,"August 2, 2022"
137,History of Hypertensive Disorders During Pregnancy Linked to Increased Risk of Dementia,"August 2, 2022"
138,"Alzheimer’s Association, Alzheimer’s Impact Movement Statement on the Death of Congresswoman Jackie Walorski and Staff","August 3, 2022"
139,Momentos destacados del AAIC 2022,"August 3, 2022"
140,Exercise May Stall Memory Loss,"August 3, 2022"
141,Super Processed Foods Are Even Worse for Our Brains Than We Thought,"August 3, 2022"
142,Overstretched ‘sandwich generation’ caregivers need more support,"August 4, 2022"
143,Highly Processed Foods Linked to Accelerated Cognitive Decline,"August 5, 2022"
144,"Black, Hispanic Dementia Patients Less Likely to Choose Hospice at End of Life","August 5, 2022"
145,How Caregivers Can Manage Personality and Behavior Changes of Alzheimer's Disease,"August 5, 2022"
146,"Less Money, More Cognitive Problems, Study Finds","August 8, 2022"
147,Warning to anyone with common Covid symptom over risk of ‘long-term brain decline’,"August 10, 2022"
148,"The Alzheimer's Treatments, Diagnostics That Could Be Available Soon","August 10, 2022"
149,"Reading, dancing, and socializing could lower your risk of dementia, new study finds","August 11, 2022"
150,Even Light Exercise Can Help Preserve Memory in People With Mild Cognitive Impairment,"August 12, 2022"
151,"'My Mom Got Sick, 7 Years Later We Made A Heartbreaking Choice'","August 14, 2022"
152,"Highly Processed Foods Are Bad for Older Brains, Study Says","August 15, 2022"
153,Eye Tests May Help Diagnose Alzheimer’s Disease,"August 16, 2022"
154,"Pregnancy Complication Ups Dementia Risk, Research Suggests","August 16, 2022"
155,"Alzheimer’s blood biomarkers not ready for primary care use, expert panel decides","August 18, 2022"
156,"Does exercise stave off Alzheimer's? Even stretching and balance movements can help, study says","August 19, 2022"
157,"Siblings Kimberly Williams-Paisley, Ashley Williams and Jay Williams to Host  Fifth Annual ‘Dance Party To End ALZ’ Benefiting the Alzheimer's Association","September 9, 2022"
158,Daily Multivitamin Slows Cognitive Aging in Three-Year Study Published in Alzheimer’s & Dementia,"September 14, 2022"
159,"Alzheimer’s Association Announces New Partnership with  100 Black Men of America, Inc.","September 15, 2022"
160,Alzheimer’s Association Applauds National Active and Retired Federal Employees for Fundraising Milestone,"September 26, 2022"
161,Alzheimer’s Association Statement on Lecanemab Phase 3 Topline Data Release,"September 27, 2022"
162,Alzheimer's & Dementia: The Journal of the Alzheimer's Association Announces New Editor-In-Chief,"October 3, 2022"
